cod_aero,aeropuerto,ciudad,pais,latitud,longitud
RCBS,Kinmen Airport,Kinmen,Taiwan ,24.4279,118.359001
RCDC,Pingtung South Airport,Pingtung,Taiwan ,22.67239952,120.461998
RCDI,Longtan Air Base,Longtang,Taiwan ,24.85510063,121.237999
RCFN,Taitung Airport,Fengnin,Taiwan ,22.75499916,121.1019974
RCGI,Lyudao Airport,Green Island,Taiwan ,22.6739006,121.4660034
RCKH,Kaohsiung International Airport,Kaohsiung,Taiwan ,22.57710075,120.3499985
RCKU,Chiayi Airport,Chiayi,Taiwan ,23.46179962,120.3929977
RCLY,Lanyu Airport,Lanyu,Taiwan ,22.02700043,121.5350037
RCMQ,Taichung Ching Chuang Kang Airport,Taichung,Taiwan ,24.26469994,120.6210022
RCNN,Tainan Airport,Tainan,Taiwan ,22.9503994,120.2060013
RCPO,Hsinchu Air Base,Hsinchu,Taiwan ,24.81800079,120.939003
RCQC,Makung Airport,Makung,Taiwan ,23.56870079,119.6279984
RCQS,Chihhang Air Base,Taitung,Taiwan ,22.79310036,121.1819992
RCSQ,Pingtung North Airport,Pingtung,Taiwan ,22.70019913,120.4820023
RCSS,Taipei Songshan Airport,Taipei,Taiwan ,25.06940079,121.552002
RCTP,Taiwan Taoyuan International Airport,Taipei,Taiwan ,25.0777,121.233002
RCWA,Wang-an Airport,Wang An,Taiwan ,23.36737251,119.5027771
RCYU,Hualien Airport,Hualien,Taiwan ,24.0230999,121.6179962
RJAA,Narita International Airport,Tokyo,Japón ,35.76470184,140.3860016
RJAF,Matsumoto Airport,Matsumoto,Japón ,36.16680145,137.9230042
RJAH,Hyakuri Airport,Ibaraki,Japón ,36.18109894,140.4149933
RJAM,Minami Torishima Airport,Minami Tori Shima,Japón ,24.28969955,153.9790039
RJAW,Iwo Jima Airport,Iwojima,Japón ,24.7840004,141.322998
RJBD,Nanki Shirahama Airport,Nanki-shirahama,Japón ,33.66220093,135.3639984
RJBK,Kohnan Airport,Kohnan,Japón ,34.59080124,133.9329987
RJCB,Tokachi-Obihiro Airport,Obihiro,Japón ,42.73329926,143.2169952
RJCC,New Chitose Airport,Sapporo,Japón ,42.77519989,141.6920013
RJCH,Hakodate Airport,Hakodate,Japón ,41.77000046,140.8220062
RJCJ,Chitose Air Base,Chitose,Japón ,42.79449844,141.6660004
RJCM,Memanbetsu Airport,Memanbetsu,Japón ,43.88059998,144.1640015
RJCN,Nakashibetsu Airport,Nakashibetsu,Japón ,43.57749939,144.9600067
RJCT,Tokachi Airport,Tokachi,Japón ,42.89049911,143.1580048
RJCW,Wakkanai Airport,Wakkanai,Japón ,45.40420151,141.8009949
RJDB,Iki Airport,Iki,Japón ,33.74900055,129.7850037
RJDC,Yamaguchi Ube Airport,Yamaguchi,Japón ,33.93000031,131.279007
RJDT,Tsushima Airport,Tsushima,Japón ,34.28490067,129.3309937
RJEB,Monbetsu Airport,Monbetsu,Japón ,44.30390167,143.404007
RJEC,Asahikawa Airport,Asahikawa,Japón ,43.67079926,142.4470062
RJEO,Okushiri Airport,Okushiri,Japón ,42.07170105,139.4329987
RJER,Rishiri Airport,Rishiri Island,Japón ,45.24200058,141.1860046
RJFA,Ashiya Airport,Ashiya,Japón ,33.8830986,130.6529999
RJFC,Yakushima Airport,Yakushima,Japón ,30.38559914,130.6589966
RJFE,Fukue Airport,Fukue,Japón ,32.66630173,128.8329926
RJFF,Fukuoka Airport,Fukuoka,Japón ,33.58589935,130.451004
RJFG,New Tanegashima Airport,Tanegashima,Japón ,30.60510063,130.9909973
RJFK,Kagoshima Airport,Kagoshima,Japón ,31.80340004,130.7189941
RJFM,Miyazaki Airport,Miyazaki,Japón ,31.87719917,131.4490051
RJFN,Nyutabaru Airport,Nyutabaru,Japón ,32.08359909,131.451004
RJFO,Oita Airport,Oita,Japón ,33.47940063,131.7369995
RJFR,Kitaky?sh? Airport,Kitakyushu,Japón ,33.84590149,131.0350037
RJFT,Kumamoto Airport,Kumamoto,Japón ,32.83729935,130.8549957
RJFU,Nagasaki Airport,Nagasaki,Japón ,32.91690063,129.9140015
RJFY,Kanoya Airport,Kanoya,Japón ,31.36759949,130.8450012
RJFZ,Tsuiki Air Field,Tsuiki,Japón ,33.68500137,131.0399933
RJKA,Amami Airport,Amami,Japón ,28.43059921,129.7129974
RJKB,Okierabu Airport,Okierabu,Japón ,27.42550087,128.701004
RJKN,Tokunoshima Airport,Tokunoshima,Japón ,27.83639908,128.8809967
RJNF,Fukui Airport,Fukui,Japón ,36.14279938,136.223999
RJNG,Gifu Airport,Gifu,Japón ,35.39410019,136.8699951
RJNH,Hamamatsu Airport,Hamamatsu,Japón ,34.75019836,137.7030029
RJNK,Komatsu Airport,Kanazawa,Japón ,36.39459991,136.4069977
RJNO,Oki Airport,Oki Island,Japón ,36.18109894,133.3249969
RJNT,Toyama Airport,Toyama,Japón ,36.64830017,137.1880035
RJNY,Shizuhama Airport,Yaizu,Japón ,34.81280136,138.2980042
RJOA,Hiroshima Airport,Hiroshima,Japón ,34.43610001,132.9190063
RJOB,Okayama Airport,Okayama,Japón ,34.75690079,133.8549957
RJOC,Izumo Airport,Izumo,Japón ,35.41360092,132.8899994
RJOF,Hofu Airport,Hofu,Japón ,34.03469849,131.548996
RJOH,Miho Yonago Airport,Miho,Japón ,35.49219894,133.2359924
RJOK,K?chi Ry?ma Airport,Kochi,Japón ,33.546101,133.669006
RJOM,Matsuyama Airport,Matsuyama,Japón ,33.82720184,132.6999969
RJOO,Osaka International Airport,Osaka,Japón ,34.78549957,135.4380035
RJOR,Tottori Airport,Tottori,Japón ,35.53010178,134.1670074
RJOS,Tokushima Airport/JMSDF Air Base,Tokushima,Japón ,34.132801,134.606995
RJOT,Takamatsu Airport,Takamatsu,Japón ,34.21419907,134.0160065
RJOY,Yao Airport,Osaka,Japón ,34.59629822,135.6029968
RJOZ,Ozuki Airport,Ozuki,Japón ,34.04529953,131.052002
RJSA,Aomori Airport,Aomori,Japón ,40.73469925,140.6909943
RJSC,Yamagata Airport,Yamagata,Japón ,38.41189957,140.3710022
RJSD,Sado Airport,Sado,Japón ,38.06019974,138.4140015
RJSH,Hachinohe Airport,Hachinoe,Japón ,40.5564003,141.4660034
RJSI,Hanamaki Airport,Hanamaki,Japón ,39.42860031,141.1349945
RJSK,Akita Airport,Akita,Japón ,39.61560059,140.2189941
RJSM,Misawa Air Base,Misawa,Japón ,40.70320129,141.3679962
RJSS,Sendai Airport,Sendai,Japón ,38.13970184,140.9170074
RJST,Matsushima Air Base,Matsushima,Japón ,38.4048996,141.2200012
RJTA,Atsugi Naval Air Facility,Atsugi,Japón ,35.45460129,139.4499969
RJTE,Tateyama Airport,Tateyama,Japón ,34.987099,139.828995
RJTH,Hachijojima Airport,Hachijojima,Japón ,33.11500168,139.7859955
RJTJ,Iruma Air Base,Iruma,Japón ,35.84189987,139.4109955
RJTK,Kisarazu Airport,Kisarazu,Japón ,35.39830017,139.9100037
RJTL,Shimofusa Airport,Shimofusa,Japón ,35.7989006,140.0110016
RJTO,Oshima Airport,Oshima,Japón ,34.7820015,139.3600006
RJTR,Kastner Army Heliport,Zama,Japón ,35.51380157,139.3939972
RJTT,Tokyo Haneda International Airport,Tokyo,Japón ,35.552299,139.779999
RJTY,Yokota Air Base,Yokota,Japón ,35.74850082,139.3480072
SIDG,Fazenda Jatobasso Airport,JARU,Brasil ,-22.42916679,-55.53333282
SIMC,FIC Heliport,MACHADINHO D'OESTE,Brasil ,-22.71138954,-47.14110947
SWQT,Fazenda São Nicolau Airport,COTRIGUACU,Brasil ,-9.864443779,-58.22916794
SBNT,Augusto Severo Airport,Natal,Brasil ,-5.911419868,-35.24769974
SWFN,Flores Airport,MANAUS,Brasil ,-3.072777987,-60.02111053
SWVJ,Fazenda Uiapuru Airport,COMODORO,Brasil ,-13.66388893,-56.00222015
SJYD,Fazenda Kajussol Airport,Alta Floresta D'Oeste,Brasil ,-11.96472168,-61.6866684
