aerolinea;aerolinea_agrupada
AEROCARDAL LTDA. (CHILE);AEROCARDAL LTDA. (CHILE)
AERO CLUB PATAGONES;AERO CLUB PATAGONES
WIDEWORLD SERVICES;WIDEWORLD SERVICES
AVIASUR AIRCRAFT MANAGEMENT SPA;AVIASUR AIRCRAFT MANAGEMENT SPA
TAMPA CARGO S.A.;TAMPA CARGO S.A.
BROZAM;BROZAM
TVPX AIRCRAFT SOLUTIONS INC TRUSTEE;TVPX AIRCRAFT SOLUTIONS INC
BROKER AIR S.A.;BROKER AIR S.A.
AERO CLUB BALCARCE;AERO CLUB BALCARCE
SERV AEREOS SUDAMERICANOS S.A.;SERV AEREOS SUDAMERICANOS S.A.
FLY MORON;FLY MORON
HANGAR UNO S.A;HANGAR UNO S.A
MASSONE;MASSONE
SMART FLIGHT S.A;SMART FLIGHT S.A
COWAN OVERSEAS S.A.;COWAN OVERSEAS S.A.
CUBANA DE AVIACION S.A.;CUBANA DE AVIACION S.A.
FALCON URU LLC;FALCON URU LLC
AERONAUTICA BARON S.R.L.;AERONAUTICA BARON S.R.L.
YPF AVIACION CORPORATIVA;YPF AVIACION CORPORATIVA
AEROVIAS DAP (CHILE);AEROVIAS DAP (CHILE)
FLY UP S.R.L;FLY UP S.R.L
AERO CLUB VIEDMA;AERO CLUB VIEDMA
HELICOPTEROS DEL PACIFICO;HELICOPTEROS DEL PACIFICO
POLICIA DE SEGURIDAD AEROPORTUARIA;POLICIA DE SEGURIDAD AEROPORTUARIA
AIR CLASS (URUGUAY);AIR CLASS (URUGUAY)
SKY LEASE CARGO;SKY LEASE CARGO
SKYWEST INC TRUSTEE;SKYWEST
LINEAS AEREAS COSTARICENSES;LINEAS AEREAS COSTARICENSES
GESTAIR S.A.;GESTAIR S.A.
PATAGONIA JET S.A.;PATAGONIA JET S.A.
USMIL - GUARDIA NAC.F.AER. (EEUU);USMIL - GUARDIA NAC.F.AER. (EEUU)
COMLUX AVIATION AG;COMLUX AVIATION AG
PRO FLIGHT SRL;PRO FLIGHT SRL
CICA;CICA
BRAVO ZULU S.A;BRAVO ZULU S.A
EXECUTIVE JET MANAGEMENT, INC;EXECUTIVE JET MANAGEMENT, INC
INVERSIONES PUNTA BRAVA;INVERSIONES PUNTA BRAVA
VOLTIANO SA;VOLTIANO SA
ZONA CELESTE S.A.;ZONA CELESTE S.A.
ALABE SERVICIOS AEREOS SRL (URUGUAY);ALABE SERVICIOS AEREOS
FLIGHT LINE S.R.L.;FLIGHT LINE S.R.L.
DELTA PLANE S.R.L.;DELTA PLANE S.R.L.
FELIX LUIS LEBORGNE CAUBARRERE;FELIX LUIS LEBORGNE CAUBARRERE
FUERZA AEREA ARGENTINA;FUERZA AEREA ARGENTINA
CLASSE STELLE S.A.;CLASSE STELLE S.A.
FLY ONE S.A;FLY ONE S.A
5D+ CAPITAL FINANCIAL GROUP;5D+ CAPITAL FINANCIAL GROUP
AEROWNERSHIP NORTH AMERICAN;AEROWNERSHIP NORTH AMERICAN
ALCOHOLES DEL URUGUAY;ALCOHOLES DEL URUGUAY
FLIGHT CONSULTANCING SERVICE LLC;FLIGHT CONSULTANCING SERVICE LLC
FUERZA AEREA BRASILERA;FUERZA AEREA BRASILERA
IRIGOIN ALFREDO;IRIGOIN ALFREDO
SERVICIOS HELICENTER;SERVICIOS HELICENTER
BRICKSTAR SERVICIOS AEREOS S.A;BRICKSTAR SERVICIOS AEREOS S.A
EMAP S.A;EMAP S.A
LATAM LLC.;LATAM
MASTER FLIGHT S.R.L.;MASTER FLIGHT S.R.L.
MD HELICÓPTEROS S.A.;MD HELICÓPTEROS S.A.
COMPAÑIA DE BEBIDAS DAS AMERICAS AMBEV;COMPAÑIA AMBEV
FUERZA AEREA PARAGUAYA;FUERZA AEREA PARAGUAYA
OAE;OAE
ADAMS AVIATION;ADAMS AVIATION
CONCRET MIX S.A.;CONCRET MIX S.A.
AMERICAN REAL STATE TRUST LLC;AMERICAN REAL STATE TRUST LLC
BARRICK (CHILE);BARRICK (CHILE)
BERTOLACCINI;BERTOLACCINI
PATRICIO JUAN NELSON DEANE;PATRICIO JUAN NELSON DEANE
LIDER TAXI AEREO S.A AIR BRASIL;LIDER TAXI AEREO S.A AIR BRASIL
AIRCRAFT GUARANTY CORP.;AIRCRAFT GUARANTY CORP.
COLCAR MERBUS S.A;COLCAR MERBUS S.A
TRANSCENTURION (URUGUAY);TRANSCENTURION (URUGUAY)
COULSON AVIATION;COULSON AVIATION
RAPETTI DANIEL;RAPETTI DANIEL
TEXTRON AVIATION;TEXTRON AVIATION
VISTA JET;VISTA JET
ELAIR S.A.;ELAIR S.A.
CENTRO AVIACION CIVIL SAN JUAN;CENTRO AVIACION CIVIL SAN JUAN
ENRIQUE PINEYRO;ENRIQUE PINEYRO
INTREBBIA SRL;INTREBBIA SRL
LIDER TAXI AEREO (BRASIL);LIDER TAXI AEREO (BRASIL)
MUJICA RUIZ RUBEN;MUJICA RUIZ RUBEN
AMERICAN CHARTER SERVICES LLC;AMERICAN CHARTER SERVICES LLC
PATAGONIAN AIR S.A.;PATAGONIAN AIR S.A.
CENTRO DE AVIACION CIVIL SAN JUAN;CENTRO DE AVIACION CIVIL SAN JUAN
SANTIAGO FERMIN WIRSCH;SANTIAGO FERMIN WIRSCH
ARGENTRE ENTERPRISES LTDA.;ARGENTRE ENTERPRISES LTDA.
MAIZTEGUI GUILLERMO;MAIZTEGUI GUILLERMO
GARCES DOILLE JORGE RENE;GARCES DOILLE JORGE RENE
FLIGHT TOURS S.R.L.;FLIGHT TOURS S.R.L.
FRAN INC.;FRAN INC.
AVIATION FACILITY;AVIATION FACILITY
AERO REGIONAL;AERO REGIONAL
QATAR EXECUTIVE;QATAR EXECUTIVE
PETREL AERO SERVICIOS S.A.;PETREL AERO SERVICIOS S.A.
CABO ROJO;CABO ROJO
PSA;PSA
BANK OF UTAH TRUSTEE;BANK OF UTAH TRUSTEE
SPECIAL FLIGHTS S.A;SPECIAL FLIGHTS S.A
TREBOL MARINO (URU);TREBOL MARINO (URU)
MATRIX AVIATION INC;MATRIX AVIATION INC
TAVISTOCK AVIATION;TAVISTOCK AVIATION
HELICORP;HELICORP
LEONEL DomésticoINGUEZ (URUAGUAY);LEONEL DOMINGUEZ
AEROTEC ARGENTINA S.A.;AEROTEC ARGENTINA S.A.
BOSQUES NUEVOS S.A.;BOSQUES NUEVOS S.A.
INTEGRAL AGROPECUARIA S.C.C.;INTEGRAL AGROPECUARIA S.C.C.
FLY ONE;FLY ONE
FLIGHT CENTER- TWR S.R.L;FLIGHT CENTER- TWR S.R.L
PROFLIGHTS INC;PROFLIGHTS INC
VOLAR;VOLAR
GIGENA ANDRES H;GIGENA ANDRES H
JET AVIATION LLC;JET AVIATION LLC
COPTER LEASE LLC TRUSTEE;COPTER LEASE LLC TRUSTEE
DIVIJET SA;DIVIJET SA
JUIZ DE FORA EMPRESA DE VIGILANCIA LTDA;JUIZ DE FORA LTDA
RAIZEN ENERGIA SA;RAIZEN ENERGIA SA
VISTAJET LIMITD;VISTAJET LIMITD
J. W. CHILDS ASSOCIATES, INC.;J. W. CHILDS ASSOCIATES, INC.
JASFLY S.A.;JASFLY S.A.
JET AVIATION;JET AVIATION
ESC. FEDERAL AVIACION POLICIAL;ESC. FEDERAL AVIACION POLICIAL
JOHN BELL THOMSON;JOHN BELL THOMSON
PAPANTLACA;PAPANTLACA
SERV. EMPRENDIM. AERON. S.A. (FLYZAR);SERV. EMPRENDIM. AERON.
MIGUEL DEPOLO TISSAVAK;MIGUEL DEPOLO TISSAVAK
OHLMANN, KLAUS;OHLMANN, KLAUS
TELMO MACHADO NUNES;TELMO MACHADO NUNES
AAXOD S.A;AAXOD S.A
ALBAMAN S.R.L.;ALBAMAN S.R.L.
JORGE RONERTO EBERT;JORGE RONERTO EBERT
VINCENT JACK TAYLOR;VINCENT JACK TAYLOR
BRASIL VIDA TAXI AEREO LTDA;BRASIL VIDA TAXI AEREO LTDA
OTHEGUY Y MARTIN;OTHEGUY Y MARTIN
SIDERAL LA;SIDERAL LA
CONVIASA SA;CONVIASA SA
NATIONAL AIRLINES;NATIONAL AIRLINES
TIENDAS INDUSTRIALES ASOCIADAS SA;TIENDAS INDUSTRIALES ASOCIADAS SA
AVIAJET S.A.;AVIAJET S.A.
CONCRET MIX SA;CONCRET MIX SA
HELIDOSA AVAITION GROUP;HELIDOSA AVAITION GROUP
ADMINISTRADORA E INVERSIONES PH;ADMINISTRADORA E INVERSIONES PH
AEROESTE S.R.L. (BOLIVIA);AEROESTE S.R.L. (BOLIVIA)
AEROSPACE AVIATION SERVICES INC TRUSTEE;AEROSPACE AVIATION SERVICES INC TRUSTEE
FLEXJET LLC;FLEXJET LLC
CHIMULAY;CHIMULAY
FUERZA AEREA CHILENA;FUERZA AEREA CHILENA
NETJETS AVIATION INC;NETJETS AVIATION INC
PANCHITA G DE NAVEGACION;PANCHITA G DE NAVEGACION
TAPSA;TAPSA
TAXI AEREO PIRACICABA LTDA.;TAXI AEREO PIRACICABA LTDA.
MANUEL TOCORNAL;MANUEL TOCORNAL
PLATINUM 23 LEASING COMPANY;PLATINUM 23 LEASING COMPANY
AEROCLUB OSORNO;AEROCLUB OSORNO
EMPRESA ALAS ARGENTINAS S.R.L.;EMPRESA ALAS ARGENTINAS S.R.L.
