local,tipo,denominacion,latitud,longitud,elevacion,referencia,condicion,trafico,provincia
GOY,Aeródromo,GOYA,-59.21874,-29.10595,39,Goya,PUBLICO,Nacional,CORRIENTES
GOZ,Aeródromo,GÓMEZ,-58.0858,-35.09556,19,Gómez,PUBLICO,Nacional,BUENOS AIRES
GPF,Aeródromo,GENERAL PICO/CEREALES ANAHÍ RUCA,-63.71805556,-35.67361111,139,General Pico,PRIVADO,Nacional,LA PAMPA
GPI,Aeródromo,GENERAL PICO,-63.75888889,-35.69472222,140,General Pico,PUBLICO,Nacional,LA PAMPA
GPK,Aeródromo,GENERAL PINEDO/KALBERMATTER,-61.47444444,-27.26027778,101,General Pinedo,PRIVADO,Nacional,CHACO
GPO,Aeródromo,GENERAL PINEDO,-61.27484,-27.34401,91,General Pinedo,PUBLICO,Nacional,CHACO
GRA,Aeródromo,RÍO GRANDE,-67.74952,-53.7776,20,Río Grande,PUBLICO,Internacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
GRE,Aeródromo,GOBERNADOR GREGORES,-70.16222222,-48.78333333,356,Gobernador Gregores,PUBLICO,Nacional,SANTA CRUZ
GRZ,Aeródromo,GENERAL RODRIGUEZ,-59.00055556,-34.58277778,28,General Rodriguez,PRIVADO,Nacional,BUENOS AIRES
GSE,Aeródromo,GUAVIRAVÍ/EA. SANTA ELISA,-56.88124,-29.30444,63,Guaviraví,PRIVADO,Nacional,CORRIENTES
GTE,Aeródromo,GUATRACHE,-63.55708,-37.70516,175,Guatrache,PUBLICO,Nacional,LA PAMPA
GUA,Aeródromo,GUALEGUAYCHÚ,-58.61277778,-33.00555556,23,Gualeguaychú,PUBLICO,Nacional,ENTRE RÍOS
GVA,Aeródromo,GENERAL ALVEAR/AEROCLUB,-67.72416667,-34.96972222,466,General Alvear,PRIVADO,Nacional,MENDOZA
GVZ,Aeródromo,GONZALEZ CHAVES,-60.13388889,-38.03305556,194,Adolfo Gonzalez Cháves,PUBLICO,Nacional,BUENOS AIRES
GYA,Aeródromo,GOYA/AEROCLUB,-59.24699,-29.16975,38,Goya,PRIVADO,Nacional,CORRIENTES
GYT,Aeródromo,GOBERNADOR GARMENDIA/AGRO SERVICIO YORIS,-64.52869,-26.57916,318,Gobernador Garmendia,PRIVADO,Nacional,TUCUMÁN
HAB,Helipuerto,HELIPLATAFORMA AM1,-68.385833,-52.519167,30,Estrecho de Magallanes,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HAC,Helipuerto,ALPA CORRAL/JUAN Y LUCI,-64.716543,-32.689893,733,Alpa Corral,PRIVADO,Nacional,CÓRDOBA
HAD,Helipuerto,HELIPLATAFORMA AM2,-68.3125,-52.548889,44,Estrecho de Magallanes,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HAG,Helipuerto,LUJAN/SOL DE AGOSTO,-58.970859,-34.53325,10,Luján,PRIVADO,Nacional,BUENOS AIRES
HAI,Helipuerto,VILLA CARLOS PAZ/NORBERTO CORDEIRO,-64.497037,-31.41415,621,Margen E Río San Antonio y Río Uruguay,PRIVADO,Nacional,CÓRDOBA
HAM,Helipuerto,HELIPLATAFORMA AM3,-68.280833,-52.522778,41,Estrecho de Magallanes,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HAS,Helipuerto,PARANÁ/AMARRAS DEL SOL,-60.50083333,-31.70861111,16,Paraná,PRIVADO,Nacional,ENTRE RÍOS
HAT,Helipuerto,ALMAFUERTE/TRANSENER S.A.,-64.314603,-32.20354,500,Almafuerte,PRIVADO,Nacional,CÓRDOBA
HAU,Helipuerto,BUENOS AIRES/AUTÓDROMO CIUDAD DE BS. AS.,-58.460425,-34.693918,16,,PRIVADO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HBA,Helipuerto,SAN CARLOS DE BARILOCHE/ARELAUQUEN,-71.36568,-41.161161,945,San Carlos de Bariloche,PRIVADO,Nacional,RÍO NEGRO
HBC,Helipuerto,BUENOS AIRES/B. CHURRUCA,-58.409441,-34.64073,6,Ciudad de Buenos Aires,PUBLICO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
